date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:49	207152/207152	---M--	200	added ('OK')	font/woff	etag:%2232930-59fdc50eec4c0%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.woff	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.woff	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:49	400572/400572	---M--	200	added ('OK')	font/ttf	etag:%2261cbc-59fdc50df8280%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.ttf	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.ttf	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:50	369624/369624	---M--	200	added ('OK')	font/eot	etag:%225a3d8-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.eot	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:50	1925531/1925531	---M--	200	added ('OK')	image/svg+xml	etag:%221d619b-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.svg	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-light-300.svg	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:51	145136/145136	---M--	200	added ('OK')	font/woff2	etag:%22236f0-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.woff2	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.woff2	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:51	369624/369624	---M--	200	added ('OK')	font/eot	etag:%225a3d8-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.eot?	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400d41d.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:51	191324/191324	---M--	200	added ('OK')	font/woff	etag:%222eb5c-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.woff	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.woff	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:51	369332/369332	---M--	200	added ('OK')	font/ttf	etag:%225a2b4-59fdc50df8280%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.ttf	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.ttf	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:52	313880/313880	---M--	200	added ('OK')	font/eot	etag:%224ca18-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.eot	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:52	1735315/1735315	---M--	200	added ('OK')	image/svg+xml	etag:%221a7a93-59fdc50fe0700%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.svg	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-regular-400.svg	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:53	117364/117364	---M--	200	added ('OK')	font/woff2	etag:%221ca74-59fdc50eec4c0%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.woff2	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.woff2	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:53	313880/313880	---M--	200	added ('OK')	font/eot	etag:%224ca18-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.eot?	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900d41d.eot	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:53	155944/155944	---M--	200	added ('OK')	font/woff	etag:%2226128-59fdc50df8280%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.woff	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.woff	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:54	313600/313600	---M--	200	added ('OK')	font/ttf	etag:%224c900-59fdc50d04040%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.ttf	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.ttf	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
01:00:54	12514605/12514605	---M--	200	added ('OK')	audio/mpeg	etag:%22bef52d-60a1948a8f97c%22	https://diva-dan-royan.webnikah.com/medias/audio/member-240563-20231114041929.mp3	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/medias/audio/member-240563-20231114041929.mp3	(from https://diva-dan-royan.webnikah.com/)
01:00:58	473347/473347	---M--	200	added ('OK')	image/jpeg	etag:%2273903-5dd4aac255740%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/img/dsa.jpg	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/img/dsa.jpg	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/css/main.css)
01:00:59	1403576/1403576	---M--	200	added ('OK')	image/svg+xml	etag:%22156ab8-59fdc50eec4c0%22	https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.svg	C:/Users/User/Documents/wedding%20diva%20&%20royan/diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/fonts/fa-solid-900.svg	(from https://diva-dan-royan.webnikah.com/template/nikah-mewah/assets/fontawesome-pro/css/font-awesome.min.css)
